# Mach-Number Intake,Mach-Number Outlet,temperature Intake,temperature Outlet,f,Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,case
 (1.720731705427169800e-01+0.000000000000000000e+00j), (5.663785710930824280e-02+0.000000000000000000e+00j), (2.998487548828125000e+02+0.000000000000000000e+00j), (3.539799804687500000e+02+0.000000000000000000e+00j), (3.300000000000000000e+02+0.000000000000000000e+00j), (2.054390497505664825e-03+3.055265732109546661e-02j), (-7.997391745448112488e-03+3.457589447498321533e-02j), (-3.763711079955101013e-02+2.014364674687385559e-02j), (-3.361604362726211548e-02+2.450405806303024292e-02j), (-2.971984073519706726e-02+2.623744122684001923e-02j), (6.980170961469411850e-03+1.071855612099170685e-02j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.720731705427169800e-01+0.000000000000000000e+00j), (5.663785710930824280e-02+0.000000000000000000e+00j), (2.998487548828125000e+02+0.000000000000000000e+00j), (3.539799804687500000e+02+0.000000000000000000e+00j), (3.300000000000000000e+02+0.000000000000000000e+00j), (-2.412369847297668457e-02-1.995271258056163788e-02j), (-2.006152831017971039e-02-3.046294301748275757e-02j), (1.120563410222530365e-02-4.379297047853469849e-02j), (3.411506302654743195e-03-4.277512058615684509e-02j), (-8.634854457341134548e-04-4.070388898253440857e-02j), (-1.266008056700229645e-02-1.867354731075465679e-03j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.720731705427169800e-01+0.000000000000000000e+00j), (5.663785710930824280e-02+0.000000000000000000e+00j), (2.998487548828125000e+02+0.000000000000000000e+00j), (3.539799804687500000e+02+0.000000000000000000e+00j), (3.300000000000000000e+02+0.000000000000000000e+00j), (1.018624380230903625e-02-1.642905361950397491e-02j), (2.164336154237389565e-03-1.727300137281417847e-02j), (-2.659277059137821198e-02+1.017565000802278519e-02j), (4.948908463120460510e-02+4.168364219367504120e-03j), (4.014087095856666565e-02+1.337404455989599228e-02j), (-3.039478883147239685e-02+2.671027742326259613e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.720731705427169800e-01+0.000000000000000000e+00j), (5.663785710930824280e-02+0.000000000000000000e+00j), (2.998487548828125000e+02+0.000000000000000000e+00j), (3.539799804687500000e+02+0.000000000000000000e+00j), (3.300000000000000000e+02+0.000000000000000000e+00j), (9.158789180219173431e-03-2.113723568618297577e-02j), (-3.958888992201536894e-04-2.083590254187583923e-02j), (-2.951773628592491150e-02+1.670561544597148895e-02j), (5.852383747696876526e-02-3.974706865847110748e-03j), (4.836651310324668884e-02+9.918345138430595398e-03j), (-3.074207343161106110e-02+3.716370835900306702e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723207533359527588e-01+0.000000000000000000e+00j), (5.602059140801429749e-02+0.000000000000000000e+00j), (2.998852233886718750e+02+0.000000000000000000e+00j), (3.540312194824218750e+02+0.000000000000000000e+00j), (3.400000000000000000e+02+0.000000000000000000e+00j), (1.220145355910062790e-02+2.438020706176757812e-02j), (5.238018929958343506e-03+3.351749479770660400e-02j), (-2.235091291368007660e-02+3.350790590047836304e-02j), (6.866856710985302925e-04+3.281597420573234558e-02j), (2.660127589479088783e-03+3.120066598057746887e-02j), (9.734466671943664551e-03+3.458163235336542130e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723207533359527588e-01+0.000000000000000000e+00j), (5.602059140801429749e-02+0.000000000000000000e+00j), (2.998852233886718750e+02+0.000000000000000000e+00j), (3.540312194824218750e+02+0.000000000000000000e+00j), (3.400000000000000000e+02+0.000000000000000000e+00j), (-2.594739384949207306e-02-8.535079658031463623e-03j), (-2.655118890106678009e-02-2.060235291719436646e-02j), (-5.861812271177768707e-03-4.246734082698822021e-02j), (-2.353769540786743164e-02-2.521808817982673645e-02j), (-2.381034940481185913e-02-2.311709336936473846e-02j), (-1.022146176546812057e-02+4.533084109425544739e-03j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723207533359527588e-01+0.000000000000000000e+00j), (5.602059140801429749e-02+0.000000000000000000e+00j), (2.998852233886718750e+02+0.000000000000000000e+00j), (3.540312194824218750e+02+0.000000000000000000e+00j), (3.400000000000000000e+02+0.000000000000000000e+00j), (-1.844072481617331505e-03-1.981172524392604828e-02j), (-7.155499886721372604e-03-1.548926532268524170e-02j), (-8.462616242468357086e-03+2.300089970231056213e-02j), (4.386468976736068726e-02-1.185980346053838730e-02j), (3.548292443156242371e-02+5.593377281911671162e-04j), (-2.337428554892539978e-02+3.427445515990257263e-02j), (2.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723207533359527588e-01+0.000000000000000000e+00j), (5.602059140801429749e-02+0.000000000000000000e+00j), (2.998852233886718750e+02+0.000000000000000000e+00j), (3.540312194824218750e+02+0.000000000000000000e+00j), (3.400000000000000000e+02+0.000000000000000000e+00j), (-5.526045337319374084e-03-2.151278220117092133e-02j), (-1.059212721884250641e-02-1.580927148461341858e-02j), (-4.837492015212774277e-03+2.711310051381587982e-02j), (4.767676442861557007e-02-2.153681963682174683e-02j), (4.162328690290451050e-02-5.611147731542587280e-03j), (-2.144108526408672333e-02+4.387775063514709473e-02j), (3.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723206639289855957e-01+0.000000000000000000e+00j), (5.655253678560256958e-02+0.000000000000000000e+00j), (2.999397277832031250e+02+0.000000000000000000e+00j), (3.540786437988281250e+02+0.000000000000000000e+00j), (3.500000000000000000e+02+0.000000000000000000e+00j), (1.726384274661540985e-02+1.950919069349765778e-02j), (1.564848423004150391e-02+3.120538592338562012e-02j), (-4.037886857986450195e-03+3.549461066722869873e-02j), (1.756896637380123138e-02+1.893104240298271179e-02j), (1.991498097777366638e-02+1.955310814082622528e-02j), (9.758134372532367706e-03-1.428766408935189247e-03j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (1.723206639289855957e-01+0.000000000000000000e+00j), (5.655253678560256958e-02+0.000000000000000000e+00j), (2.999397277832031250e+02+0.000000000000000000e+00j), (3.540786437988281250e+02+0.000000000000000000e+00j), (3.500000000000000000e+02+0.000000000000000000e+00j), (-2.568843401968479156e-02-4.897301085293292999e-03j), (-3.180888667702674866e-02-1.551305316388607025e-02j), (-1.873574964702129364e-02-3.078230470418930054e-02j), (-2.638867497444152832e-02-5.248122848570346832e-03j), (-2.867563441395759583e-02-3.520780475810170174e-03j), (-7.622771430760622025e-03+7.322120945900678635e-03j), (1.000000000000000000e+00+0.000000000000000000e+00j)
